Total Revenue,"$500,000 "
Salary of staff,"$27,500 "
Cost of cash machine,$534 
Cost of sales and marketing,"$7,243 "
Cost of fruits and vegetables,"$325,000 "
Cost of laptop,$790 
"Cost of smoothie cups, straws","$10,000 "
Cost of furniture,"$5,783 "
Rent,"$10,500 "
Utilities,"$2,000 "
Gross Profit,"$164,466 "
Cost of Goods Sold,"$335,000 "
"Selling, General and Administrative expenses","$41,850 "
Total Operating Expenses,"$54,350 "
Operating Income,"$110,116 "
Gross Margin,0.33
